Date,Region,Product Line,Revenue,Cost of Goods Sold,Gross Profit,Operating Expenses,Net Income,Units Sold,Customer Count,Return Rate (%),Prior Year Revenue,YoY Growth (%)
2023-01-31,North America,Software,245000,62000,183000,95000,88000,820,310,1.2,218000,12.4
2023-01-31,Europe,Software,198000,50000,148000,78000,70000,660,240,2.1,175000,13.1
2023-01-31,Asia Pacific,Hardware,312000,140000,172000,85000,87000,1040,410,3.5,285000,9.5
2023-01-31,North America,Hardware,278000,125000,153000,80000,73000,930,370,2.8,252000,10.3
2023-01-31,Europe,Services,156000,40000,116000,60000,56000,520,200,0.9,142000,9.9
2023-02-28,North America,Software,262000,66000,196000,98000,98000,875,330,1.0,230000,13.9
2023-02-28,Europe,Software,210000,53000,157000,81000,76000,700,255,1.8,185000,13.5
2023-02-28,Asia Pacific,Hardware,298000,134000,164000,82000,82000,995,390,3.8,270000,10.4
2023-02-28,North America,Hardware,290000,130000,160000,83000,77000,965,380,2.5,263000,10.3
2023-02-28,Europe,Services,165000,42000,123000,62000,61000,550,210,1.1,148000,11.5
2023-03-31,North America,Software,275000,70000,205000,100000,105000,920,345,0.8,242000,13.6
2023-03-31,Europe,Software,225000,57000,168000,84000,84000,750,270,1.5,196000,14.8
2023-03-31,Asia Pacific,Hardware,325000,146000,179000,88000,91000,1085,425,3.2,294000,10.5
2023-03-31,North America,Hardware,305000,137000,168000,87000,81000,1015,400,2.2,277000,10.1
2023-03-31,Europe,Services,172000,44000,128000,64000,64000,575,220,0.7,154000,11.7
2023-04-30,North America,Software,258000,65000,193000,97000,96000,860,325,1.3,231000,11.7
2023-04-30,Europe,Software,215000,54000,161000,82000,79000,715,260,1.9,192000,11.98
2023-04-30,Asia Pacific,Hardware,308000,139000,169000,84000,85000,1027,405,3.6,281000,9.6
2023-04-30,North America,Hardware,282000,127000,155000,81000,74000,940,375,2.9,256000,10.2
2023-04-30,Europe,Services,160000,41000,119000,61000,58000,533,205,1.0,145000,10.3
2023-05-31,North America,Software,280000,71000,209000,101000,108000,935,350,0.9,248000,12.9
2023-05-31,Europe,Software,230000,58000,172000,86000,86000,767,275,1.6,204000,12.7
2023-05-31,Asia Pacific,Hardware,335000,151000,184000,91000,93000,1117,435,3.0,302000,10.9
2023-05-31,North America,Hardware,312000,140000,172000,89000,83000,1040,410,2.1,282000,10.6
2023-05-31,Europe,Services,178000,46000,132000,66000,66000,593,227,0.8,159000,11.9
2023-06-30,North America,Software,295000,75000,220000,104000,116000,983,368,0.7,260000,13.5
2023-06-30,Europe,Software,242000,61000,181000,89000,92000,807,292,1.4,214000,13.1
2023-06-30,Asia Pacific,Hardware,348000,157000,191000,94000,97000,1160,448,2.8,315000,10.5
2023-06-30,North America,Hardware,325000,146000,179000,92000,87000,1083,428,1.9,296000,9.8
2023-06-30,Europe,Services,185000,47000,138000,68000,70000,617,236,0.6,165000,12.1
2023-07-31,North America,Software,270000,68000,202000,99000,103000,900,338,1.1,242000,11.6
2023-07-31,Europe,Software,220000,56000,164000,83000,81000,733,265,1.7,196000,12.2
2023-07-31,Asia Pacific,Hardware,318000,143000,175000,87000,88000,1060,418,3.3,289000,10.0
2023-07-31,North America,Hardware,295000,133000,162000,85000,77000,983,388,2.4,268000,10.1
2023-07-31,Europe,Services,168000,43000,125000,63000,62000,560,214,0.9,150000,12.0
2023-08-31,North America,Software,285000,72000,213000,102000,111000,950,355,0.8,254000,12.2
2023-08-31,Europe,Software,235000,59000,176000,87000,89000,783,283,1.5,208000,12.98
2023-08-31,Asia Pacific,Hardware,330000,149000,181000,90000,91000,1100,432,3.1,300000,10.0
2023-08-31,North America,Hardware,308000,139000,169000,88000,81000,1027,405,2.2,279000,10.4
2023-08-31,Europe,Services,175000,45000,130000,65000,65000,583,223,0.8,156000,12.2
2023-09-30,North America,Software,300000,76000,224000,105000,119000,1000,375,0.6,267000,12.4
2023-09-30,Europe,Software,248000,63000,185000,90000,95000,827,300,1.3,220000,12.7
2023-09-30,Asia Pacific,Hardware,342000,154000,188000,93000,95000,1140,445,2.9,311000,10.0
2023-09-30,North America,Hardware,318000,143000,175000,91000,84000,1060,418,2.0,289000,10.0
2023-09-30,Europe,Services,182000,47000,135000,67000,68000,607,232,0.7,162000,12.3
2023-10-31,North America,Software,288000,73000,215000,103000,112000,960,360,1.0,256000,12.5
2023-10-31,Europe,Software,238000,60000,178000,88000,90000,793,287,1.6,212000,12.3
2023-10-31,Asia Pacific,Hardware,322000,145000,177000,88000,89000,1073,422,3.2,294000,9.5
2023-10-31,North America,Hardware,299000,135000,164000,86000,78000,997,393,2.3,272000,9.9
2023-10-31,Europe,Services,171000,44000,127000,64000,63000,570,218,0.9,153000,11.8
2023-11-30,North America,Software,310000,79000,231000,107000,124000,1033,387,0.5,275000,12.7
2023-11-30,Europe,Software,255000,65000,190000,92000,98000,850,308,1.2,226000,12.8
2023-11-30,Asia Pacific,Hardware,355000,160000,195000,96000,99000,1183,458,2.7,323000,9.9
2023-11-30,North America,Hardware,332000,149000,183000,93000,90000,1107,436,1.8,302000,9.9
2023-11-30,Europe,Services,190000,49000,141000,70000,71000,633,242,0.6,169000,12.4
2023-12-31,North America,Software,325000,82000,243000,110000,133000,1083,406,0.4,290000,12.1
2023-12-31,Europe,Software,268000,68000,200000,95000,105000,893,323,1.0,238000,12.6
2023-12-31,Asia Pacific,Hardware,372000,167000,205000,100000,105000,1240,478,2.5,338000,10.1
2023-12-31,North America,Hardware,348000,157000,191000,97000,94000,1160,456,1.7,317000,9.8
2023-12-31,Europe,Services,198000,51000,147000,72000,75000,660,252,0.5,175000,13.1
